file_name,threads,read_queries,write_queries,total_queries,transactions,total_time,total_events,min_latency,avg_latency,max_latency,95th_latency
ebpf1.txt,24,1558718,445348,2226740,111337,300.0700,111337,10.16,64.67,223.75,87.56
ebpf2.txt,24,1555316,444376,2221880,111094,300.0773,111094,8.72,64.81,298.96,86.00
ebpf3.txt,24,1564332,446952,2234760,111738,300.0606,111738,8.50,64.44,230.52,87.56
ebpft1.txt,24,2085048,595728,2978640,148932,300.0443,148932,7.34,48.34,280.72,87.56
ebpft2.txt,24,2081408,594688,2973440,148672,300.0404,148672,8.60,48.43,349.07,84.47
ebpft3.txt,24,2084390,595540,2977700,148885,300.0611,148885,8.57,48.36,529.81,87.56
perf1.txt,24,2085748,595928,2979640,148982,300.0323,148982,9.36,48.32,312.32,87.56
perf2.txt,24,2081996,594856,2974280,148714,300.0433,148714,7.70,48.41,343.26,86.00
perf3.txt,24,2082584,595024,2975120,148756,300.0366,148756,9.08,48.40,386.27,86.00
raw1.txt,24,2160998,617428,3087140,154357,300.0392,154357,8.25,46.64,395.86,95.81
raw2.txt,24,2150470,614420,3072100,153605,300.0323,153605,7.09,46.87,397.96,94.10
raw3.txt,24,2159612,617032,3085160,154258,300.0387,154258,7.76,46.67,359.98,94.10
